id,field_name
0,ag_foaf_name
1,ag_skos_altLabel
2,ag_skos_preflabel
3,ag_skos_prefLabel
4,cc_skos_altLabel
5,cc_skos_prefLabel
7,contributor
8,CONTRIBUTOR
9,CREATOR
12,description
16,pl_skos_altLabel
17,pl_skos_prefLabel
20,proxy_dc_contributor
21,proxy_dc_coverage 
22,proxy_dc_creator
24,proxy_dc_subject
27,proxy_dcterms_spatial
29,proxy_dc_type
30,proxy_edm_type
33,subject
34,text
35,title
36,ts_skos_altLabel
37,ts_skos_prefLabel
38,TYPE
39,what
40,when
41,where
42,who
43,YEAR
44,provider_aggregation_edm_dataProvider
